Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
ENGL,001AF,09,3,1030,1145,TR,22,22,A Smith,44852,In Person,FYW: Stretch English I
HS,167,05,0,1415,1500,T,26,25,J Pham,42085,In Person,Biostatistics
OCTH,233,02,3,0900,1145,T,24,28,L Arabit,41907,In Person,Prof Develop II
NUFS,298,14,2,TBA,,TBA,1,10,C LaSalle,40570,In Person,Special Studies
SOCI,015,03,3,1200,1315,MW,27,30,E Sweet,48348,In Person,Stat Ap in Soc Sci
RTVF,132A,02,0,1700,1845,M,17,18,H Mathias,48271,In Person,Intr Cinematograph
NUFS,219A,01,3,1500,1745,W,10,18,K Mauldin,48767,In Person,Adv Nutr and Metab
LING,123,04,3,1500,1615,MW,25,25,C Donlay,42639,In Person,Sound Comm
NUFS,180,06,6,TBA,,TBA,0,10,J Kubota,41580,In Person,Individual Studies
ME,250,01,3,1800,1915,MW,31,50,M Pharand,47774,In Person,Precision Mach Des
KIN,197C,01,1,0730,0820,W,12,12,H Pai,40714,In Person,Practicum Ath Trn III
AMS,001B,04,6,1500,1615,TR,27,32,A Cushner,45413,In Person,Am Cults 1877-pres
RTVF,020,02,0,1100,1245,T,18,18,J Abrams,49002,In Person,Intro Audio FilmTV
INFO,204,01,3,TBA,,TBA,31,35,C Dee,42302,Online Only - TBA Mtg Pat,Inf. Prof
PHIL,186,10,3,1330,1445,TR,31,60,J Giddings,48002,In Person,Prof & Bus Ethics
INFO,285,01,3,TBA,,TBA,25,35,S Walter,42918,Online Only - TBA Mtg Pat,App. Res. Methods
PHOT,115,02,3,1500,1750,MW,21,24,E Cetto,41778,In Person,Int Digital Imaging
JS,136,81,3,TBA,,TBA,44,44,S Martinek,49024,Online Only - TBA Mtg Pat,Fam&Comm Violence
NURS,146B,06,2,0700,1300,F,8,10,M Agroia,44694,In Person,Mat Hlth Clinical
BIOL,297,43,4,TBA,,TBA,3,15,K Wilkinson,48244,In Person,Grad Research
PHYS,140,01,3,1330,1420,MW,11,12,D Olson,41025,In Person,Comp Meth Physics
ANTH,142,01,3,1030,1145,MW,25,25,J Marlovits,47035,In Person,Culture in Mind
MUSC,001B,02,1,1030,1120,MW,27,25,T Langan,42529,In Person,Music Systems IB
ENGR,010,19,0,1200,1445,R,23,22,A Banafa,41875,In Person,Intro to Engr
CHEM,001B,02,0,1030,1120,F,196,158,K Padmanabhan,40940,In Person,Gen Chem
SPAN,001B,01,4,1500,1640,TR,13,30,M Mendoza Torres,49145,In Person,Elem Spanish
HA,157SL,03,3,1500,1745,W,0,27,A Pulos,50227,In Person,Comm Action & Serv
BIOL,180,21,2,TBA,,TBA,3,15,S Shaffer,48076,In Person,Indiv Studies
PHYS,180,04,1,TBA,,TBA,1,1,R Bahuguna,50787,In Person,Indiv Studies
NUFS,192,10,5,TBA,,TBA,0,10,F Yambrach,45095,In Person,Fld Exp NufS/Pkg
HSPM,180,01,3,TBA,,TBA,0,5,T Yen,46575,In Person,Individual Studies
BIOL,182,05,1,TBA,,TBA,0,15,,40611,In Person,Tutor Asst Biol
SOCI,100W,03,3,1030,1145,TR,19,20,D Brook,47803,In Person,Writing Workshop
ANTH,012,01,3,0900,1015,MW,39,40,S Ou,40007,In Person,Intro to Human Evol
PHYS,051,19,0,1330,1620,W,16,16,V Santhanakrishnan,41867,In Person,General Physics
NURS,147A,03,2,0800,1400,R,10,10,C Mao,44696,In Person,Mental Health Clin
JS,181,14,6,TBA,,TBA,0,5,Y Yuan,43261,In Person,Internship in JS
NUFS,016,03,3,1330,1445,TR,45,45,I Chou,46850,In Person,"Sci, Physio, Nutr"
BIOL,190,03,3,TBA,,TBA,0,15,,40781,In Person,Fld Studies Biol
SE,152,01,3,1030,1145,TR,1,30,J Pearce,49425,In Person,Progrmng Paradigms
PSYC,260,01,3,1200,1445,W,12,15,A Prins,42821,In Person,Crisis Counseling
BIOL,031,02,4,1630,1745,TR,57,120,I Yuwanita,44536,In Person,Biology II
ART,175,02,3,1500,1750,MW,10,24,P Surgalski,47875,In Person,Artists' Books
ISE,112,01,3,1800,2045,T,33,65,C Foster,47223,In Person,Occup Health Engr
RTVF,185,02,3,1500,1745,W,26,30,L Walker,48269,In Person,Spec Topics RTVF
MUSC,009,01,3,0930,1020,MW,18,30,A Young,43305,In Person,Music Fund
NURS,146A,05,2,1500,2100,W,7,10,C Weng,44681,In Person,Peds Clinical
BUS5,144,80,3,TBA,,TBA,44,45,M Zhou,48311,Online Only - TBA Mtg Pat,Supply Chain Mgmt
SCI,001,16,1.5,1800,1915,MW,0,30,K Singmaster,44130,In Person,Acadmc Excel Wkshp
ENGR,160SL,01,1,1800,2045,W,11,15,K Perry,43163,In Person,EPICS UD
GEOG,112,80,3,TBA,,TBA,36,30,K Rohrmeier,43825,Online Only - TBA Mtg Pat,Nat Cult Terr Disp
LLD,280,01,3,1630,1745,TR,12,15,D Malinowski,40156,In Person,Methods TESOL
JOUR,140C,01,3,1630,1745,MW,14,20,D Nichols,47673,In Person,StuMedia: Spear
PSYC,154,02,3,1200,1315,MW,48,48,J Ventura,40321,In Person,Social Psy
AS,131A,01,3,1300,1600,F,14,30,M Neubauer,42375,In Person,AF Ldrship Studies
ANTH,165,01,3,1030,1145,MW,24,25,M Meniketti,42445,In Person,Historical Archaeology
KIN,041A,02,2,1200,1320,TR,15,30,M Basile,49506,In Person,Tpcs in Ballet I
TA,005,02,3,1030,1145,MW,26,26,S Anderson,41283,In Person,Acting
TA,010,02,3,1200,1315,TR,50,50,J Moreno,43125,In Person,Theatre Apprecia
ENGR,198,81,3,TBA,,TBA,0,40,L Zou,49532,Online Only - TBA Mtg Pat,Technology & Civil
ENGL,050,01,3,1030,1145,MW,30,30,A Eastwood,43393,In Person,Lit Survey before 1680
NUFS,110A,02,0,1200,1345,W,47,45,C LaSalle,40200,In Person,Med Nutrition Ther
CMPE,180,01,1,TBA,,TBA,0,15,,47740,In Person,Individual Studies
BUS1,020,02,3,0900,1015,MW,44,45,E Capener,47263,In Person,Financial Account
GEOL,103,01,3,1800,2045,M,31,37,G Schwartz,40819,In Person,Earth Systems
AS,002A,01,1,0800,0915,F,22,30,W Priebe,43534,In Person,Air and Space Pwr
MS,274,06,0,TBA,,TBA,0,24,M Grand,48429,In Person,Adv Top Ocean
MUSC,050A,01,1,1330,1520,MW,45,55,C Brown,41513,In Person,ConcertChoir
BUS,280,01,3,1800,2200,W,27,45,M Zhou,42492,In Person,Op & Supply Chain Mgt
ENGL,001A,19,3,0930,1215,F,23,23,A Stdennis,42399,In Person,First Year Writing
INFO,287,01,3,TBA,,TBA,20,35,E Valenti,42327,Online Only - TBA Mtg Pat,Sem Inf Sci
ENGL,001AF,22,3,1500,1615,TR,20,22,B Hoffer,43279,In Person,FYW: Stretch English I
RELS,100W,02,3,1200,1315,TR,1,25,B Walters,49560,In Person,Writing Humanities
BIOL,180,45,3,TBA,,TBA,0,15,,48096,In Person,Indiv Studies
ENGR,100W,48,0,1110,1230,F,28,22,B Murphywesley,42998,In Person,Engr Reports
CMPE,142,01,3,1800,2045,T,44,50,J Gomez,47714,In Person,Operating Systems
RTVF,111,01,3,1500,1745,M,48,48,D Todd,49037,In Person,Alternative Cinema
KIN,174,01,3,1600,1845,T,35,30,J Lee,43935,In Person,Assess Psychomotor
JS,100W,80,3,TBA,,TBA,20,27,S Kil,48372,Online Only - TBA Mtg Pat,Writing Workshop
MUSC,059,01,1,1330,1520,MW,3,20,J Lewis,41524,In Person,AfroLatinJazzEns
LLD,100WB,82,3,TBA,,TBA,25,25,E Chiu,41918,Online Only - TBA Mtg Pat,Wrtg Wrkshp Bsns Stdnts
ENVS,111,81,3,TBA,,TBA,7,37,J Oberdorfer,49424,Online Only - TBA Mtg Pat,Geol and Envir
CHAD,150,03,3,1500,1615,MW,29,30,L Lasman,42881,In Person,Devlp Comm Compet
ZOOL,186,01,2,TBA,,TBA,0,10,,40807,In Person,Senior Thesis
SCWK,120,01,3,1200,1445,M,31,30,E Bruce,43679,In Person,Soc SW Practice I
ENGL,071,06,3,0930,1215,F,23,25,R James,44717,In Person,Intro Creative Writ
BIOL,160,12,0,1030,1320,F,17,20,L Braga,47493,In Person,Ecology
CHE,161L,03,0,1330,1615,T,6,12,M McNeil,44150,In Person,UG ChE Engr Lab
KIN,185,03,1,1030,1120,T,21,20,L Wilkin,42567,In Person,Senior Seminar
ANI,010,03,3,1800,2050,TR,20,25,I Poslitur,41817,In Person,Light and Optics
SOCI,101,03,3,1500,1615,TR,30,30,P Chua,45813,In Person,Social Theory
ENGL,001B,09,3,1500,1615,MW,26,25,F Kirk,44777,In Person,Argument and Analysis
PSYC,191,01,3,1330,1445,TR,38,35,A Asuncion,43179,In Person,Psych of Prejudice
CMPE,110,02,0,1330,1620,T,19,25,A Bindal,44387,In Person,Electronics Comp
NUFS,100W,02,3,1030,1145,TR,3,25,C Jones,49618,In Person,Writing Workshop
KIN,100W,01,3,1030,1145,MW,27,25,D Bohigian,43309,In Person,Writing Workshop
KIN,027A,02,1,0930,1020,MW,50,40,G Chen,45539,In Person,Begin Table Tennis
MATE,180,01,1,TBA,,TBA,2,15,R Chung,41062,In Person,Ind Studies
CCS,210,01,3,1030,1500,S,9,15,J Curry,49146,In Person,Foundatns in Ch St
RECL,135,06,3,0930,1215,F,21,35,C Ghione,45316,In Person,Rec Areas & Facilit
PSYC,199,01,3,TBA,,TBA,0,2,,40897,In Person,Senior Hon Thesis
MATH,071W,04,1,1330,1445,MW,27,28,B Pence,47900,In Person,Calc Wkshp Bus/Avi
KIN,158,04,0,1200,1350,T,17,20,L Jin,43210,In Person,Biomechanics
HUM,002A,07,0,0900,1015,TR,19,35,G Smay,48136,In Person,Hum Honors 2A
COMM,020,63,3,0900,1015,R,23,25,K Ward,47257,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
HS,100W,80,3,TBA,,TBA,7,25,S Rivera,50723,Online Only - TBA Mtg Pat,Writing Workshop
SPAN,001B,02,4,1500,1640,MW,25,30,A Long,42953,In Person,Elem Spanish
ARED,184Z,01,4,TBA,,TBA,3,5,J Roark,40277,In Person,Stdt Tchg III
PHOT,121,01,3,1200,1450,MW,18,18,Y Williams,45183,In Person,Intro to Studio Light
NURS,127B,01,2,1000,1140,F,99,100,L Rauch,40206,In Person,Community Theory
KIN,151,01,3,1330,1445,TR,42,40,C Armstrong,42560,In Person,Sprts&FitnessMark
BIOL,180,41,3,TBA,,TBA,1,15,S Rech,48092,In Person,Indiv Studies
JS,140,01,3,1500,1615,TR,21,20,M Stevenson,41570,In Person,RCP
CCS,074,10,3,1800,2045,T,15,25,M Corrales,50598,In Person,Public Address
SCI,090,11,0,1630,1820,W,12,20,S Lilienthal,49118,2 Pat - Mtg Pat & TBA (See Class Note),Path to Academic Success
NURS,126B,01,2,1300,1440,R,56,62,D Nelson,41801,In Person,Mat/Newborn Theory
COMM,041,99,3,TBA,,TBA,24,25,D Mejia Salinas,44842,Online Only - TBA Mtg Pat,Crit Dec Making
MATH,031,03,4,1030,1140,MWF,35,40,M Bodas,40160,In Person,Calculus II
ATH,012S,01,1,TBA,,TBA,42,20,B Brennan,40027,In Person,Skl Dvlp Football
HUM,002A,04,6,1030,1145,TR,18,35,J Stenberg,48132,In Person,Hum Honors 2A
ENGL,001A,67,3,1630,1745,MW,23,23,A Tran,44180,In Person,First Year Writing
RTVF,030,08,0,1530,1715,F,15,18,C Guzzetta,49017,In Person,Intro Film/TV Prod
NUFS,280A,12,1,1600,1750,M,10,10,C LaSalle,50525,In Person,Dietetic Internship
HIST,015,07,3,1330,1445,TR,52,48,G Vasquez,43051,In Person,Esntl US History
ISE,195A,01,1,0930,1215,F,42,50,B Saeed,47170,In Person,Sr ISE Design I
PHYS,023,99,3,TBA,,TBA,21,30,W Seneshen,45974,Online Only - TBA Mtg Pat,Animation Physics
MATH,1001S,02,1,0900,0950,TR,21,28,T Hsu,49055,In Person,MATH 01 Support
PHYS,002B,17,0,0900,1150,W,17,18,M Shao,42124,In Person,Fund of Physics
MATH,143M,01,3,0900,1015,TR,29,25,M Saleem,48601,In Person,Num Analy Sci Comp
SCI,001,13,1.5,1630,1745,MW,13,45,K Singmaster,42116,In Person,Acadmc Excel Wkshp
PHIL,066,01,3,1200,1315,MW,45,45,A Delunas,40693,In Person,Intro Aesthetics
BUS4,110B,02,3,0900,1015,MW,116,119,Y Ceran,40516,In Person,Sys Analysis & Design
ENGL,070,01,3,1500,1615,TR,30,30,K McSharry,43394,In Person,Lit Survey 1860 to present
PHYS,023,01,3,1630,1720,R,27,30,W Seneshen,43888,2 Pat - Mtg Pat & TBA (See Class Note),Animation Physics
KIN,030,04,1,1130,1220,MW,32,30,J Linafelter,43921,In Person,Pilates
MUSC,250A,01,1,1330,1520,MW,7,15,C Brown,44016,In Person,GrdConcChoir
SPAN,025A,02,4,0830,1010,TR,22,30,A Iacomini-Bernardi,49980,In Person,Inter Spanish
GEOL,213,01,4,1330,1445,MW,9,18,J Miller,48962,In Person,Adv IG & Met Pet
INFO,248,01,3,TBA,,TBA,34,35,S Khosrowpour,42313,Online Only - TBA Mtg Pat,Beg Cat & Class
MATH,032,04,3,1030,1145,TR,41,40,M Saleem,43124,In Person,Calculus III
MATH,031W,71,1,0900,1015,MW,23,28,F Vargas-Chavez,43691,In Person,Calculus II Workshop
MICR,020,15,0,1030,1320,W,13,16,H Gates,42171,In Person,Gen Bact
LLD,100WB,85,3,TBA,,TBA,28,25,N Shugan,48251,Online Only - TBA Mtg Pat,Wrtg Wrkshp Bsns Stdnts
SCI,001,12,1.5,1630,1745,MW,0,32,K Singmaster,49172,In Person,Acadmc Excel Wkshp
JS,132,82,3,TBA,,TBA,30,44,M Lowell,50503,Online Only - TBA Mtg Pat,Race Gender Ineqlt
ENGL,001A,84,3,0730,0845,TR,23,23,S Sreerangarajan,50397,In Person,First Year Writing
MUSC,028,01,1,1730,1920,R,19,25,S Lin,43247,In Person,Guitar Fundamentals
COMM,020,18,3,0730,0845,W,27,27,E Harris,41896,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
TECH,060,13,0,1630,1915,F,28,30,M Zand,44623,In Person,Intro Electronics
BUS3,186,86,3,TBA,,TBA,23,45,C Sanchez,49374,Online Only - TBA Mtg Pat,Prof & Bus Ethics
NUFS,180,04,4,TBA,,TBA,0,10,J Kubota,40984,In Person,Individual Studies
ME,295A,09,3,TBA,,TBA,0,10,J Lee,44366,In Person,ME Project I
HS,165,02,0,2000,2050,M,85,140,K Roe,44062,In Person,Hlth Professional
BIOL,255E,01,3,1430,1715,R,14,15,M Dawson,47499,In Person,Adv Top Ecol&Evol
PHYS,051,26,0,0930,1220,F,16,16,A Hatzikoutelis,41873,In Person,General Physics
ENVS,117,01,3,1330,1615,W,21,25,K Davis,42972,In Person,Human Ecology
ME,160,01,3,1930,2045,TR,16,35,E Chan,43544,In Person,Finite Ele Methods
GERO,099,02,3,1330,1445,TR,3,35,T Perreira,49343,In Person,Death Dying & Rels
EE,097,05,1,0900,1145,F,21,20,K Ghadiri,42790,In Person,Intro EE Lab
TECH,060,01,3,0730,0820,TR,55,50,M Zand,43270,In Person,Intro Electronics
HS,100W,01,3,0900,1015,TR,10,25,C Jones,47967,In Person,Writing Workshop
ANTH,298,02,3,TBA,,TBA,1,3,A Faas,44318,In Person,Anth Project
PSYC,120,31,0,1800,2000,M,22,24,S Trafalis,40980,In Person,Adv Res Meth & Des
ENT,114,11,0,1430,1720,T,0,24,B Carter,49603,In Person,Functional Morphology
ENVS,124,01,3,1330,1445,MW,25,30,T Trumbull,47823,In Person,Intro Env Law
PSYC,177,01,4,0900,1015,TR,21,40,M Jackson,49430,In Person,Political Psych
ME,120,01,2,0900,0950,W,129,120,A Mysore,42631,In Person,Experimental Meths
FREN,001B,01,4,1700,1800,W,4,30,L Pilot-Darier-Baziere,48016,2 Pat - Mtg Pat & TBA (See Class Note),Elem French
ME,190,03,0,1430,1715,R,20,20,V Tran,42760,In Person,Mecha Sys Design
ARTH,194A,01,3,1330,1445,TR,14,50,M Gasparini,48771,In Person,Art of China
PHOT,114,01,3,1500,1750,MW,19,21,B Danh,43022,In Person,Adv Blk/Wht Photo
ME,120,06,0,0900,1145,R,17,15,S Ahsan,41036,In Person,Experimental Meths
KIN,030,03,1,0830,0920,MW,32,30,J Linafelter,40659,In Person,Pilates
ENGL,001A,25,3,1030,1145,MW,23,23,M Mohsenzadegan,42405,In Person,First Year Writing
PSYC,110,09,3,1800,2045,M,40,40,E Herb,50321,In Person,Adult Psychopathol
PSYC,100W,12,3,0730,0845,MW,27,24,K Jeffery,50479,In Person,Writing Workshop
MUSC,147A,04,0,1230,1320,MW,20,20,J Benson,41678,In Person,Begin Conducting
EDCO,244,01,3,1900,2145,M,13,30,I Almazan,43291,In Person,Cultural Couns
CHEM,145,01,3,0900,0950,MWF,40,45,M Radlauer,47866,In Person,Inorganic Chem
BIOL,181,01,1,TBA,,TBA,0,15,,42750,In Person,Intro Health Care
HS,180,12,3,TBA,,TBA,2,10,D McClure,46912,In Person,Indiv Studies
TECH,179,01,3,1800,1915,MW,47,30,B Venkatraman,49085,In Person,Cyber Security
KIN,061A,02,1,0930,1120,M,51,50,J Linafelter,40971,In Person,Begin Hatha Yoga
ENVS,111,01,3,0900,1015,MW,9,37,A Van Dyne,49421,In Person,Geol and Envir
BUS,298I,01,1,TBA,,TBA,0,15,,40877,In Person,Applied Bus Intern
MUSC,060L,02,1,1030,1220,F,6,10,R Maldonado,41543,In Person,WoodwindEns
DSID,129,01,3,1800,2050,TR,25,24,M Mathe,42689,In Person,Visualization III
NUFS,139,02,3,1500,1615,TR,29,30,G Acker,40311,In Person,Hunger & Environ Nutr
METR,010,04,3,1030,1145,TR,61,63,R Plofkin,40170,In Person,Weather & Climate
HSPM,130,01,3,1500,1745,R,21,40,J Gao,45919,In Person,Hospitality Event
JOUR,130,01,3,1030,1145,TR,7,20,D Guerrazzi,49215,In Person,Media Apprentice
ENGL,100A,01,3,0900,1015,TR,20,20,A Petty,44701,In Person,Writing Competency
CHEM,298,07,6,TBA,,TBA,1,5,L Miller Conrad,45297,In Person,Research
ENVS,010,01,3,0900,1015,MW,36,35,M Klock,47566,In Person,Life Chang Planet
MUSC,122A,01,1,1130,1220,TR,12,23,S Nagami,41497,In Person,Fund Tech Woodwnds
MATH,031W,61,1,1500,1615,MW,19,28,M Blockus,43699,In Person,Calculus II Workshop
ENGL,001AF,07,3,0900,1015,TR,21,22,K Schwartz,44851,In Person,FYW: Stretch English I
BUS3,151,01,3,1500,1745,R,45,45,N Long,42808,In Person,Labor Relations
WOMS,010,03,3,0900,1015,TR,35,35,S Gallardo,47251,In Person,"Women, Gender &Sex"
SOCI,281,32,3,TBA,,TBA,1,3,T Bakhru,40888,In Person,Internship in Soc
KIN,055A,03,1,1330,1420,MW,36,30,G Chen,43932,In Person,Begin Self-Defense
TA,100W,02,3,1200,1315,TR,24,25,K Kratochvil,43129,In Person,Wrt Wkshp Th Arts
MATH,019,63,5,1330,1455,MWF,68,75,A Jiru,45682,In Person,Precalculus
LING,021,81,3,TBA,,TBA,24,25,M Modirzadeh,43532,Online Only - TBA Mtg Pat,Langu and Thinking
MUSC,260K,01,1,1030,1220,F,1,3,T Hornig,44027,In Person,GrdBrassEns
MCOM,180,03,3,TBA,,TBA,10,30,P Johnson,43494,In Person,Independent Study
ENT,180,01,1,TBA,,TBA,0,10,,40720,In Person,Individual Studies
SOCI,281,31,3,TBA,,TBA,1,10,Y Kwan,40667,In Person,Internship in Soc
KIN,158,02,0,1400,1550,T,19,20,A Tomimbang,43208,In Person,Biomechanics
HA,187,03,3,0800,1050,M,7,10,C Guzzetta,48698,In Person,Videography
KIN,023A,02,1,1230,1420,R,24,20,N Fraire,41502,In Person,Begin Archery
ENGL,001A,78,3,0930,1215,F,23,23,S Sloan,49836,In Person,First Year Writing
HUM,100W,01,3,1330,1445,MW,20,25,J Georges,48150,In Person,Writing Humanities
TECH,046,11,0,1500,1745,T,19,24,D Muntz,41564,In Person,Mach Oper & Mgmt
POLS,003,01,3,1200,1315,MW,46,45,A Schendan,44872,In Person,Intro Pol Thought
MUSC,019,80,3,TBA,,TBA,58,70,T Harris,48278,Online Only - TBA Mtg Pat,Mus Wrld Cultures
AMS,001B,06,6,1500,1615,TR,11,32,J Gonzalez,45416,In Person,Am Cults 1877-pres
SCED,297,01,1,TBA,,TBA,3,10,R Kelly,46472,In Person,Sci Ed Research
BIOL,177,01,3,1630,1720,MW,0,60,M Simon,49436,In Person,Physiol for Engr
TA,010,80,3,TBA,,TBA,40,40,K Kratochvil,45717,Online Only - TBA Mtg Pat,Theatre Apprecia
BUS4,118W,01,3,1030,1145,MW,39,45,S Dhar,42079,In Person,Web Based Computing
KIN,015A,01,1,0830,0920,MW,22,24,S Butler,42517,In Person,Beg Basketball
CMPE,280,01,3,1830,2115,R,28,50,C Vuppalapati,44492,In Person,Web UI Design
ME,180,05,1,1700,1830,R,3,25,R Agarwal,50566,In Person,Indiv Studies
EDCO,004,04,3,0900,1015,TR,36,35,M Burns,40710,In Person,Career Exploration
BIOL,101,81,3,TBA,,TBA,39,40,E McGee-Bergerol,47343,Online Only - TBA Mtg Pat,Origins of Life
ANTH,013,04,3,1200,1315,MW,37,40,A Hedges,49083,In Person,Archaeology
PSYC,120,32,0,1800,2000,W,20,24,S Trafalis,40981,In Person,Adv Res Meth & Des
ENGR,010,01,3,0800,0850,MW,261,250,J Warecki,41814,In Person,Intro to Engr
BIOL,184,05,4,TBA,,TBA,0,15,,40619,In Person,Directed Reading
MATH,019,04,5,1330,1455,MWF,36,40,T Fish,45678,In Person,Precalculus
BIOL,297,48,4,TBA,,TBA,0,15,,47001,In Person,Grad Research
MATH,042W,01,1,1030,1145,TR,17,24,K Le,48418,In Person,Discrete Math Wksp
OCTH,201B,01,6,TBA,,TBA,73,76,A Kelley,40741,In Person,Adv Field Wrk Exp
BUS,220G,01,3,1330,1730,MW,12,40,C Chen,47020,In Person,Tax Bus Invest Dec
NUFS,144,10,3,1500,1745,T,30,30,D Singamsetti,42711,In Person,Food Culture
UNVS,075,04,0,1800,1950,T,6,12,S Lilienthal,49653,In Person,LdrshpCareerAcc
MUSC,010A,85,3,TBA,,TBA,70,70,P Ellison,44166,Online Only - TBA Mtg Pat,Music Appreciation
OCTH,213,03,3,1330,1615,R,26,28,D Lashgari,45302,In Person,Prof Develop I
CHEM,180,05,1,TBA,,TBA,6,15,N Wang,45280,In Person,Indiv Studies
ADV,132,01,3,1630,1745,TR,13,20,J Delacruz,47026,In Person,UX UI Desn Ad
UNVS,015F,06,0,1000,1145,WF,26,30,M Zoubeidi,47391,In Person,Stats Statway A
TA,100W,01,3,1200,1445,M,25,25,L Long,43128,In Person,Wrt Wkshp Th Arts
SCI,002,19,0,1800,1950,W,13,20,S Lilienthal,48749,In Person,Success in Science
NURS,100W,11,3,TBA,,TBA,5,25,M Duphily,50167,Online Only - TBA Mtg Pat,Writing Workshop
ENGL,002,12,3,1030,1145,TR,25,25,S Prasad,42439,In Person,Critical Thinking and Writing
CE,140,04,0,1330,1615,R,18,18,A Moore,42194,In Person,Geotech Engr
KIN,100W,06,3,0900,1015,MW,25,25,D Bohigian,45931,In Person,Writing Workshop
BUS2,137A,80,3,TBA,,TBA,45,45,J Bechkoff,42487,Online Only - TBA Mtg Pat,Soft Skills
PHYS,002B,01,4,1500,1615,MW,91,90,N Adham,40225,In Person,Fund of Physics
COMM,100W,13,3,1330,1445,M,24,25,L Rogers,43317,2 Pat - Mtg Pat & TBA (See Class Note),Writing Workshop
AVIA,068,01,3,1600,1745,W,48,48,D Neal,46401,In Person,Avionics/Airb Comm
BIOL,116L,03,3,0830,0855,TR,16,12,B White,42427,In Person,Genetics Lab
ME,295B,10,3,TBA,,TBA,0,10,N Okamoto,44380,In Person,ME Project II
EDCO,292,10,3,TBA,,TBA,9,10,A Gutierrez,42930,In Person,Supv Exp Couns
BIOL,123A,01,3,0900,1015,MW,15,30,W Lee,49475,In Person,Bioinformatics I
EDUC,157SL,02,3,1500,1745,W,0,27,L Hatton,49485,In Person,Comm Action & Serv
BUS4,091L,04,1,1930,2045,M,43,45,U Andra,44871,In Person,Comp Tools for Bus
ENGL,002,30,3,1500,1615,MW,25,25,L Landau,50622,In Person,Critical Thinking and Writing
TAG,001A,01,4,1630,1810,TR,27,32,E Borbon,49941,2 Pat - Mtg Pat & TBA (See Class Note),Elementary Tagalog
HS,167,04,0,1330,1415,T,24,25,J Pham,42084,In Person,Biostatistics
SOCI,165,01,3,1030,1145,TR,35,35,S Myers-Lipton,43794,In Person,Poverty Wealth Prv
MUSC,160F,03,1,TBA,,TBA,4,10,J Dryden,43377,In Person,ENS: Small Jazz Ensemb
ENGL,001B,07,3,1330,1445,MW,26,25,B Nobleman,44774,In Person,Argument and Analysis
BUS5,165A,01,3,1800,2045,T,32,40,T Shirley,44737,In Person,Global Leadership
JS,181,05,3,TBA,,TBA,5,10,J Warren,41356,In Person,Internship in JS
NURS,135,03,3,1500,1745,W,0,30,N Zhang,49663,In Person,Hlth Multiculture
KIN,035A,05,1,1530,1620,TR,32,32,L Pate,42095,In Person,Begin Wt Training
ECON,104,01,4,1200,1315,MW,41,40,T Seshadri,43234,In Person,Math Meth for Econ
KIN,180,04,4,TBA,,TBA,2,10,K Han,43066,In Person,Independent Study
ECON,285,01,4,TBA,,TBA,1,3,J Rietz,46971,In Person,Applied Econ Intrn
BIOL,186,02,2,TBA,,TBA,0,15,,40621,In Person,Senior Thesis
NURS,044,06,3,1400,2300,W,9,10,M Diaz,42703,In Person,Adult Care Clin Pract I
PHYS,050,18,0,0830,1120,T,16,16,E Sigari,41834,In Person,General Physics
CMPE,148,01,3,1030,1145,TR,68,70,R Fatoohi,47728,In Person,Comptr Networks I
SOCI,151,01,3,1030,1145,MW,36,35,S de Bourbon,47933,In Person,Violence in Family
METR,012,04,3,1330,1445,TR,36,35,M Diao,46823,In Person,Global Warming
BUS5,140,12,3,1800,2045,W,44,45,M Ashley,44800,In Person,Fund of Oper Mgmt
MATE,025,05,3,1330,1445,MW,60,60,E Ishida,49915,In Person,Intro to Materials
PHYS,050,13,0,0830,1120,F,21,16,C Morante,41830,In Person,General Physics
CMPE,294,07,3,1200,1445,T,25,25,A Megwalu,44503,In Person,CMPE Seminar
CHAD,180,01,1,TBA,,TBA,0,1,E Slusser,41114,In Person,Indiv Studies
RTVF,030,07,3,1330,1515,F,15,18,C Guzzetta,49016,In Person,Intro Film/TV Prod
ENGL,001A,83,3,1330,1445,MW,23,23,A Stdennis,50134,In Person,First Year Writing
CHEM,001A,25,0,1030,1320,R,24,24,L Leti,41632,In Person,General Chem
CHE,161L,02,0,1500,1745,M,12,12,M McNeil,44149,In Person,UG ChE Engr Lab
CE,260,01,3,1800,2045,R,16,40,A Singhal,47624,In Person,Matrix Anal Struct
HSPM,100W,01,3,0900,1015,MW,18,25,K Haven,41483,In Person,Writing Workshop
GEOL,134,02,0,1030,1315,T,10,20,E Gabet,41787,In Person,Geomorphology
MICR,298,02,1,TBA,,TBA,0,10,,40730,In Person,Research
MUSC,260A,01,1,1330,1520,TR,4,15,J Benson,44015,In Person,GrdChrlrs
DANC,010,04,3,0730,0845,TR,68,70,J Yager,49009,In Person,Dance Appreciation
URBP,234,01,1,TBA,,TBA,2,5,A Agrawal,49904,Online Only - TBA Mtg Pat,Field Study Sem
NUFS,163,11,3,1330,1445,MW,11,32,A Bloom,48761,In Person,Phys Fit + Nutrit
GEOL,007,05,0,1730,2015,M,24,24,G Diaz Santana,41263,In Person,Earth Time and Life
